"receiver_player_id","receiver_player_name","posteam","position","targets","receptions","avg_receiving_epa","receiving_success_rate","receiving_yards","avg_air_yards","avg_yac","receiving_touchdowns","rushing_plays","avg_rushing_epa","rushing_success_rate","rushing_yards","avg_yards_per_rush","rushing_touchdowns"
"00-0040130","J.Higgins","HOU","WR",69,41,0.242864967895584,0.507246376811594,525,12.3382352941176,3,6,0,0,0,0,0,0
"00-0030564","D.Hopkins","BAL","WR",39,22,0.242236643016915,0.487179487179487,330,13.1538461538462,2.95454545454545,2,0,0,0,0,0,0
"00-0033375","T.Patrick","JAX","WR",24,15,0.237354310917744,0.541666666666667,187,10.75,3.6,3,0,0,0,0,0,0
"00-0038563","T.Tucker","LV","WR",92,57,0.237161658722685,0.445652173913043,696,10.1630434782609,5.10526315789474,5,11,-0.0426849593217908,0.454545454545455,51,4.63636363636364,0
"00-0031381","D.Adams","LA","WR",114,60,0.237135453329774,0.517543859649123,789,12.6666666666667,1.95,14,0,0,0,0,0,0
"00-0040218","Ji.Horn","CAR","WR",15,11,0.2305726461249,0.466666666666667,108,6,6.45454545454545,0,0,0,0,0,0,0
"00-0039919","R.Odunze","CHI","WR",91,44,0.229590341569345,0.461538461538462,661,13.9111111111111,4.86363636363636,6,0,0,0,0,0,0
"00-0033591","N.Brown","WAS","WR",10,5,0.228402573490166,0.5,83,14.5,2.2,0,0,0,0,0,0,0
"00-0037239","C.Olave","NO","WR",156,100,0.228393347837858,0.5,1163,11.8012820512821,2.89,9,0,0,0,0,0,0
"00-0038618","X.Hutchinson","HOU","WR",57,35,0.226062573096696,0.543859649122807,428,10.2456140350877,4.17142857142857,3,0,0,0,0,0,0
"00-0036900","J.Chase","CIN","WR",185,125,0.223672831047334,0.52972972972973,1412,8.48648648648649,5.12,9,0,0,0,0,0,0
"00-0037238","D.London","ATL","WR",113,68,0.219297303828859,0.539823008849557,919,10.9017857142857,3.36764705882353,7,0,0,0,0,0,0
