"rusher_player_id","rusher_player_name","posteam","position","rushing_plays","avg_rushing_epa","rushing_success_rate","rushing_yards","avg_yards_per_rush","rushing_touchdowns","targets","receptions","avg_receiving_epa","receiving_success_rate","receiving_yards","avg_air_yards","avg_yac","receiving_touchdowns"
"00-0038120","B.Hall","NYJ","RB",243,-0.0916321379047054,0.407407407407407,1065,4.38271604938272,4,48,36,0.180616499234029,0.5625,350,0.291666666666667,8.91666666666667,1
"00-0035243","M.Sanders","DAL","RB",20,-0.0943699113646289,0.45,117,5.85,1,0,0,0,0,0,0,0,0
"00-0040644","T.Etienne","CAR","RB",21,-0.0958467565554505,0.333333333333333,98,4.66666666666667,0,0,0,0,0,0,0,0,0
"00-0038738","H.Luepke","DAL","RB",16,-0.0998775712059775,0.5625,71,4.4375,0,15,13,0.306910177924779,0.533333333333333,109,-0.2,9.15384615384615,1
"00-0039391","K.Vidal","LAC","RB",166,-0.100980799306707,0.349397590361446,674,4.06024096385542,3,22,16,0.0335782244266747,0.409090909090909,136,-0.636363636363636,10.625,1
"00-0036555","C.Hubbard","CAR","RB",148,-0.101183546378405,0.418918918918919,557,3.76351351351351,3,39,30,0.117434735257387,0.384615384615385,223,-1.02564102564103,9.7,3
"00-0040784","Q.Judkins","CLE","RB",231,-0.108670436919921,0.333333333333333,827,3.58874458874459,7,36,26,-0.202554917734233,0.277777777777778,171,-0.416666666666667,7.46153846153846,0
"00-0037197","I.Pacheco","KC","RB",118,-0.115621973529075,0.347457627118644,462,3.91525423728814,1,26,19,-0.179920510747995,0.307692307692308,101,-1.03846153846154,6.36842105263158,1
"00-0040715","C.Skattebo","NYG","RB",102,-0.118596339720963,0.411764705882353,410,4.03921568627451,6,32,24,0.104630179508604,0.5,207,-0.15625,8.70833333333333,2
"00-0037267","J.Ford","CLE","RB",24,-0.125706701393938,0.333333333333333,73,3.04166666666667,0,32,26,-0.174610796908781,0.25,103,-1.53125,5.92307692307692,0
"00-0036875","R.Stevenson","NE","RB",189,-0.136449622008217,0.35978835978836,820,4.34920634920635,7,37,32,0.325535147212615,0.486486486486487,345,4.2972972972973,8.21875,2
"00-0040198","O.Gordon","MIA","RB",70,-0.136731197137878,0.4,199,2.84285714285714,3,0,0,0,0,0,0,0,0
"00-0040202","D.Neal","NO","RB",57,-0.138041950241977,0.350877192982456,206,3.6140350877193,2,19,17,-0.117233952113,0.368421052631579,104,-2,8.11764705882353,0
"00-0036906","K.Herbert","NYJ","RB",16,-0.141580155826887,0.3125,52,3.25,0,0,0,0,0,0,0,0,0
"00-0040238","L.Allen","JAX","RB",24,-0.147076228475877,0.25,97,4.04166666666667,0,11,10,-0.350981776487062,0.181818181818182,54,-1.36363636363636,6.1,0
"00-0038685","C.Brooks","GB","RB",28,-0.14856635801449,0.392857142857143,122,4.35714285714286,0,17,13,-0.0657408289948175,0.470588235294118,91,0.352941176470588,8.15384615384615,0
"00-0040583","W.Marks","HOU","RB",229,-0.154888226328183,0.362445414847162,832,3.63318777292576,3,36,24,0.200823483111305,0.388888888888889,208,2.13888888888889,9.29166666666667,3
